type,name,latitude,longitude
oval,"South Oval",-35.281011,149.116099
oval,"Fellows Oval",-35.278916,149.119439
stadium,"Deakin Stadium",-35.313920,149.105429
stadium,"GIO Stadium Canberra",-35.250021,149.102721
oval,"Manuka Oval",-35.318261,149.134363
oval,"Kingston Oval",-35.319971,149.142596
oval,"Deakin 3 Cricket Ground",-35.322530,149.089551
oval,"Stirling Oval",-35.350382,149.044007
stadium,"Souther Cross Basketball Stadium",-35.415422,149.063444
oval,"Greenway 1 Oval",-35.422972,149.063423
oval,"Chisholm Neighbourhood Oval",-35.417710,149.118916
oval,"Gordon Neighbourhood Oval",-35.459795,149.088681
oval,"Conder Neighborhood Oval",-35.463285,149.097431
oval,"Banks Neighbourhood Oval",-35.470030,149.093457
oval,"Theodore Neighbourhood Oval",-35.445344,149.121978
oval,"Bonython Oval",-35.429589,149.082742
oval,"Mackillop Oval",-35.424391,149.091204
oval,"Gilmore Neighbourhood Oval",-35.417512,149.134764
oval,"Kambah Oval",-35.382253,149.055278
oval,"Mawson Oval",-35.369545,149.095318
oval,"Torrens Oval",-35.368542,149.089837
oval,"Farrer Neighbourhood Oval",-35.377249,149.104571
oval,"Yarramula Bay Oval",-35.302561,149.099214
oval,"Yarramula Neighbourhood Oval",-35.306969,149.100435
oval,"Reid Oval",-35.281682,149.144852
oval,"Willows Oval",-35.274883,149.122747
oval,"ANU North Oval",-35.273207,149.124055
oval,"O'Connor Enclosed Oval",-35.261042,149.123907
oval,"Ainslie Oval",-35.260409,149.137785
oval,"Alan Ray Oval",-35.262698,149.137783
oval,"Dickson Oval",-35.249074,149.147585
oval,"Hackett Oval",-35.251539,149.160769
oval,"Gungalin Enclosed Oval",-35.185103,149.127256
oval,"Amaroo Neighbourhood Oval",-35.164046,149.124817
oval,"Bonner Oval",-35.159381,149.142690
oval,"Nicholls Synthetic Ovals",-35.180153,149.099126
oval,"Kaleen South Oval",-35.234401,149.105658
oval,"Belconnen Oval",-35.245816,149.073359
oval,"Macquarie Oval",-35.249970,149.061315
oval,"Cook Neighbourhood Oval",-35.257309,149.062066
oval,"Rugby League And Cricket Oval",-35.249813,149.047543
oval,"Page Oval Playground",-35.234787,149.048282
oval,"Scullin Oval",-35.230358,149.039067
oval,"Sir Howard Florey Oval",-35.224791,149.053777
oval,"Higgins Oval",-35.230403,149.023670
oval,"Holt Oval Playground",-35.222122,149.012596
oval,"MacGregor Oval",-35.213793,149.015557
oval,"Flynn Oval",-35.207592,149.043088
oval,"Evatt Oval",-35.211540,149.064465
